n_threads,time
1,26.880419
1,26.990145
1,26.962929
1,26.910192
2,13.385079
2,13.328036
2,13.545673
2,13.616088
4,6.933486
4,6.930999
4,6.902532
4,6.924686
8,5.435282
8,5.596088
8,5.544535
8,5.702804
