n_threads,time
1,19.468695
1,19.915758
1,19.930386
1,19.925270
2,9.862501
2,9.838077
2,9.821616
2,9.912185
4,5.068074
4,5.120251
4,5.039224
4,5.007470
8,4.127002
8,3.986489
8,3.902190
8,3.958618
