n_threads,time
1,21.235500
1,21.254789
1,21.108303
1,21.188015
2,10.754273
2,10.717120
2,10.632855
2,10.616204
4,5.454134
4,5.447745
4,5.440516
4,5.434924
8,4.333571
8,4.328447
8,4.277663
8,4.140035
